,Query,GWAS Trait,RS Number,Position (GRCh38),Alleles,R2,D',Risk Allele,Effect Size (95% CI),Beta or OR,P-value,{
57,rs721272,Cortical surface area (MOSTest),rs7798146,chr7:43003264,"A=0.234, C=0.766",0.8079584705398726,0.9711532947181282,NR,,,9.000000000000001e-13,
58,rs721272,Lung cancer in ever smokers,rs2877187,chr7:43004867,"C=0.767, T=0.233",0.8032742532602001,0.9710300181998296,0.227358385,1.082824,1.045943506-1.121004821,7.000000000000001e-06,
59,rs721272,Cortical surface area,rs7782219,chr7:43007083,"A=0.256, G=0.744",0.919158988372298,0.9737249002277524,0.2368,,,1e-17,
60,rs721272,Brain morphology (MOSTest),rs7782219,chr7:43007083,"A=0.256, G=0.744",0.919158988372298,0.9737249002277524,NR,,,2e-13,
61,rs721272,Vertex-wise cortical surface area,rs7782219,chr7:43007083,"A=0.256, G=0.744",0.919158988372298,0.9737249002277524,0.26,12.36,,4e-35,
62,rs721272,Brain morphology (MOSTest),rs7782219,chr7:43007083,"A=0.256, G=0.744",0.919158988372298,0.9737249002277524,NR,,,4e-16,
63,rs721272,Vertex-wise sulcal depth,rs11770051,chr7:43019868,"C=0.743, T=0.257",0.9341114874596509,0.979061078791537,0.26,15.04,,3.9999999999999994e-51,
64,rs721272,Cortical thickness,rs11770051,chr7:43019868,"C=0.743, T=0.257",0.9341114874596509,0.979061078791537,0.2411,,,1e-17,
65,rs721272,Vertex-wise cortical thickness,rs10951709,chr7:43021638,"C=0.233, T=0.767",0.8225607377681139,0.9826180109198978,0.23,9.1,,9e-20,
66,rs2613499,Insomnia,rs202141514,chr1:72255554,"-=0.82, TC=0.18",0.913689137445632,0.9722865013774104,NR,0.012,0.0081-0.0159,1.9999999999999998e-15,
67,rs2613499,Heart rate response to recovery post exercise (10 sec),rs61765646,chr1:72257528,"A=0.179, T=0.821",0.9199423300362652,0.9723200528285274,0.813206,0.0557609,0.041-0.07,1e-13,
68,rs2613499,Smoking initiation,rs12737564,chr1:72273844,"A=0.819, C=0.181",0.920500500676362,0.9791896513680496,0.165,0.0157,0.014-0.018,9.999999999999999e-48,
69,rs2613499,Body mass index,rs34361149,chr1:72284787,"A=0.175, G=0.825",0.9862741508576376,0.9931133625410734,NR,0.0309,0.025-0.037,2e-26,
70,rs2613499,Adult body size,rs2613499,chr1:72285869,"A=0.825, G=0.175",1.0,1.0,0.808963,0.0185702,0.015-0.022,1e-26,
71,rs2613499,Type 2 diabetes,rs2613499,chr1:72285869,"A=0.825, G=0.175",1.0,1.0,0.199,0.0363,0.026-0.047,1.0000000000000001e-11,
72,rs2613499,Heart rate response to recovery post exercise (20 sec),rs12740789,chr1:72286390,"A=0.174, G=0.826",0.9931216497100972,1.0,0.82089,0.046075,0.031-0.061,1e-09,
73,rs2613499,Smoking initiation (ever regular vs never regular),rs12740789,chr1:72286390,"A=0.174, G=0.826",0.9931216497100972,1.0,0.178,0.02849727,0.022-0.035,1e-17,
74,rs2613499,Externalizing behaviour (multivariate analysis),rs12740789,chr1:72286390,"A=0.174, G=0.826",0.9931216497100972,1.0,0.803,0.013999999999999999,0.01-0.018,5.999999999999999e-20,
75,rs2613499,Insomnia,rs12740789,chr1:72286390,"A=0.174, G=0.826",0.9931216497100972,1.0,NR,0.013999999999999999,0.01-0.018,9.999999999999999e-16,
76,rs2613499,Cardiovascular disease,rs2613498,chr1:72287256,"C=0.825, T=0.175",1.0,1.0,NR,,,8e-09,
77,rs2613499,Body mass index,rs2613498,chr1:72287256,"C=0.825, T=0.175",1.0,1.0,NR,,,4e-40,
78,rs2613499,Smoking initiation,rs61765650,chr1:72287429,"A=0.826, G=0.174",0.9931216497100972,1.0,0.15,0.0163,0.014-0.018,1.9999999999999997e-51,
79,rs2613499,Childhood obesity,rs61765651,chr1:72288631,"C=0.826, T=0.174",0.9931216497100972,1.0,NR,0.1346,0.083-0.187,4e-07,
80,rs2613499,Body mass index,rs61765651,chr1:72288631,"C=0.826, T=0.174",0.9931216497100972,1.0,NR,,,2e-38,
81,rs2613499,Childhood body mass index,rs61765651,chr1:72288631,"C=0.826, T=0.174",0.9931216497100972,1.0,0.83,0.057999999999999996,0.038-0.078,1e-08,
82,rs2613499,Insomnia,rs61765651,chr1:72288631,"C=0.826, T=0.174",0.9931216497100972,1.0,NR,0.013999999999999999,0.012-0.016,9.000000000000001e-29,
83,rs2613499,Smoking initiation (ever regular vs never regular) (MTAG),rs2613496,chr1:72289105,"C=0.826, T=0.174",0.9931216497100972,1.0,0.821,0.0118521,0.0091-0.0146,4e-17,
84,rs2613499,High density lipoprotein cholesterol levels,rs2613496,chr1:72289105,"C=0.826, T=0.174",0.9931216497100972,1.0,NR,,,2e-12,
85,rs2613499,High density lipoprotein cholesterol levels,rs2613496,chr1:72289105,"C=0.826, T=0.174",0.9931216497100972,1.0,0.816177,0.014129399999999999,0.011-0.018,2e-09,
86,rs2613499,Insomnia,rs2815757,chr1:72298606,"C=0.174, T=0.826",0.9931216497100972,1.0,0.8089,1.057,1.04-1.07,2e-13,
87,rs2613499,Insomnia,rs2815757,chr1:72298606,"C=0.174, T=0.826",0.9931216497100972,1.0,0.8089,1.08,1.06-1.1,4e-10,
88,rs2613499,Gastroesophageal reflux disease,rs2815749,chr1:72349100,"A=0.181, G=0.819",0.9600423672712828,1.0,0.2,0.039,,1e-10,
89,rs2613499,Predicted visceral adipose tissue,rs2613500,chr1:72354201,"C=0.821, T=0.179",0.9463175771543141,0.9861600264142636,0.1975,0.026889954,0.021-0.033,5e-18,
90,rs2613499,Waist-hip ratio,rs2613505,chr1:72369727,"C=0.179, T=0.821",0.9463175771543141,0.9861600264142636,0.8197,0.0161,0.012-0.02,1e-13,
91,rs2613499,Triglyceride levels,rs2613505,chr1:72369727,"C=0.179, T=0.821",0.9463175771543141,0.9861600264142636,0.810705,0.0139303,0.01-0.017,3e-10,
92,rs2613499,Triglyceride levels,rs2613505,chr1:72369727,"C=0.179, T=0.821",0.9463175771543141,0.9861600264142636,NR,,,4.0000000000000004e-11,
93,rs2613499,Body mass index,rs1993709,chr1:72372846,"A=0.18, G=0.82",0.9531716031744896,0.9930716253443528,0.1805,0.0317,0.028-0.036,1e-52,
94,rs2613499,Obesity (early onset extreme),rs1993709,chr1:72372846,"A=0.18, G=0.82",0.9531716031744896,0.9930716253443528,0.81,1.38,1.26-1.50,5e-13,
95,rs2613499,Neuroticism,rs1993709,chr1:72372846,"A=0.18, G=0.82",0.9531716031744896,0.9930716253443528,NR,,,4e-08,
96,rs2613499,Waist-hip ratio,rs1993709,chr1:72372846,"A=0.18, G=0.82",0.9531716031744896,0.9930716253443528,0.1811,0.0161,0.012-0.02,1e-13,
97,rs2613499,Obesity (extreme),rs1993709,chr1:72372846,"A=0.18, G=0.82",0.9531716031744896,0.9930716253443528,NR,1.29,1.16-1.44,5e-06,
98,rs2613499,Triglycerides,rs2613503,chr1:72374091,"A=0.821, C=0.179",0.9463175771543141,0.9861600264142636,0.8334,0.0178,0.012-0.023-1,2e-10,
99,rs2613499,Insomnia symptoms (never/rarely vs. usually),rs2613503,chr1:72374091,"A=0.821, C=0.179",0.9463175771543141,0.9861600264142636,0.801866,1.03,1.02-1.05,3e-07,
100,rs2613499,Insomnia symptoms (never/rarely vs. sometimes/usually),rs2613503,chr1:72374091,"A=0.821, C=0.179",0.9463175771543141,0.9861600264142636,0.801866,1.03,1.02-1.05,4e-08,
101,rs2613499,Type 2 diabetes,rs2613503,chr1:72374091,"A=0.821, C=0.179",0.9463175771543141,0.9861600264142636,0.1988,0.0392,0.027-0.051,6.999999999999999e-11,
102,rs2613499,Positive affect,rs1460939,chr1:72395884,"A=0.187, T=0.813",0.8468922406864859,0.9580740164480996,0.803141489624633,0.009239389,0.0063-0.0122,6e-10,
103,rs2613499,Life satisfaction,rs1460939,chr1:72395884,"A=0.187, T=0.813",0.8468922406864859,0.9580740164480996,0.803141489624633,0.009797679,0.0064-0.0132,1e-08,
104,rs2613499,Childhood body mass index,rs2590942,chr1:72419598,"G=0.187, T=0.813",0.8468922406864859,0.9580740164480996,0.82,0.047,0.029-0.065,2e-07,
105,rs2613499,Body fat percentage or coronary artery disease (MTAG),rs2590942,chr1:72419598,"G=0.187, T=0.813",0.8468922406864859,0.9580740164480996,NR,0.0413,0.015-0.067,6e-09,
106,rs2613499,Neuroticism,rs782214,chr1:72479445,"A=0.813, G=0.187",0.8345837599688193,0.9510863525227828,0.196566880117919,0.012268039,0.0086-0.0159,5e-11,
107,rs2613499,Relative fat intake,rs707444,chr1:72483607,"A=0.187, G=0.813",0.8345837599688193,0.9510863525227828,0.1927,0.1345,0.089-0.18,7e-09,
108,rs4390710,Neutrophil count,rs251857,chr19:39428898,"C=0.555, T=0.445",0.9880075340342848,1.0,NR,0.015,0.011-0.019,1e-12,
109,rs4390710,White blood cell count,rs1865092,chr19:39445377,"A=0.557, G=0.443",0.9721337050156912,0.9959358461600614,NR,0.0123,0.0086-0.016,3e-10,
110,rs4390710,Neutrophil count,rs12609112,chr19:39450011,"C=0.44, T=0.56",0.9368675870166172,0.9836332946942428,0.520068,0.015469,0.012-0.019,9e-16,
111,rs4390710,White blood cell count,rs8107194,chr19:39451929,"C=0.438, T=0.562",0.9526406800780084,0.9958897673183388,NR,,,3e-10,
112,rs4390710,Neutrophil count,rs10424217,chr19:39456187,"A=0.546, G=0.454",0.8984869593643152,0.95936978743856,0.502337,,,6.999999999999999e-15,
113,rs4390710,White blood cell count,rs10424217,chr19:39456187,"A=0.546, G=0.454",0.8984869593643152,0.95936978743856,0.498629,,,9.000000000000001e-14,
114,rs4390710,White blood cell count,rs10404004,chr19:39462536,"G=0.475, T=0.525",0.8161266762220941,0.9535291943828528,0.392588,0.016397735,0.012-0.021,1e-12,
115,rs4390710,White blood cell count,rs10404004,chr19:39462536,"G=0.475, T=0.525",0.8161266762220941,0.9535291943828528,0.396975,0.015755,0.012-0.02,9.000000000000001e-15,
116,rs816032,Apolipoprotein A1 levels,rs286965,chr5:153980670,"C=0.628, T=0.372",0.9262263246470775,0.9912950175657199,0.36779,0.0159839,0.012-0.02,3.9999999999999995e-15,
117,rs816032,C-reactive protein levels (MTAG),rs286965,chr5:153980670,"C=0.628, T=0.372",0.9262263246470775,0.9912950175657199,NR,0.01193,0.0078-0.016,1e-08,
118,rs816032,Red cell distribution width,rs4594908,chr5:153998038,"A=0.372, G=0.628",0.9262263246470775,0.9912950175657199,0.367939,0.019804,0.016-0.024,2.0000000000000002e-24,
119,rs816032,Red cell distribution width,rs2578384,chr5:154017214,"A=0.372, G=0.628",0.9262263246470775,0.9912950175657199,0.365667,,,1e-25,
120,rs816032,Red cell distribution width,rs2578377,chr5:154033830,"C=0.374, T=0.626",0.9179744929279084,0.9826826413275496,0.631387,0.020942615,0.016-0.025,5e-20,
121,rs816032,Red cell distribution width,rs2578377,chr5:154033830,"C=0.374, T=0.626",0.9179744929279084,0.9826826413275496,0.633,0.026062000000000002,0.018-0.034,4e-10,
122,rs816032,Red cell distribution width,rs2578377,chr5:154033830,"C=0.374, T=0.626",0.9179744929279084,0.9826826413275496,NR,,,5e-27,
123,rs816032,High density lipoprotein cholesterol levels,rs1438588,chr5:154065390,"A=0.38, G=0.62",0.9421118759982836,0.9829546417255459,NR,,,1e-12,
124,rs816032,High density lipoprotein cholesterol levels,rs1438588,chr5:154065390,"A=0.38, G=0.62",0.9421118759982836,0.9829546417255459,0.632663,0.0117196,0.0089-0.0145,4e-10,
125,Warning(s):,,,,,,,,,,,
126,The following RS number(s) or coordinate(s) inputs have warnings: rs10958559;8:39594069:t:g,,,,,,,,,,,
0,rs8109757,Mean corpuscular volume,rs6511268,chr19:21571965,"C=0.334, T=0.666",0.9823353819139596,1.0,0.338387,,,5e-11,
1,rs8109757,Height,rs8112960,chr19:21592569,"C=0.666, T=0.334",0.9823353819139596,1.0,0.3412,0.0044,0.003-0.0058,2.0000000000000002e-11,
2,rs8109757,Mean corpuscular volume,rs7251111,chr19:21596541,"C=0.334, G=0.666",0.9823353819139596,1.0,0.324383,0.01236,0.0086-0.0162,2e-10,
3,rs10826861,Congenital left-sided heart lesions (maternal effect),rs11008222,chr10:30753565,"A=0.473, G=0.527",0.9527614990617757,0.9839142948512952,0.49,1.64,1.34-2.00,6e-07,
4,rs10826861,Height,rs11008222,chr10:30753565,"A=0.473, G=0.527",0.9527614990617757,0.9839142948512952,0.4579,0.0068,0.0056-0.008,4e-27,
5,rs9290133,F-healthy food liking (derived food-liking factor),rs206274,chr3:162909058,"A=0.716, G=0.284",0.9291656885392136,0.985158301613998,0.3028,0.086921,0.056-0.118,4e-08,
6,rs9290133,F-cake/biscuits liking (derived food-liking factor),rs206269,chr3:162909800,"A=0.284, G=0.716",0.9385212225271584,0.990105534409332,0.3029,0.076627,0.053-0.1,2e-10,
7,rs7468932,Body mass index,rs13291830,chr9:137383374,"C=0.383, T=0.617",0.8621230258432906,0.9646873505421072,NR,0.0091,0.0066-0.0116,1.0000000000000001e-11,
8,rs6842026,Educational attainment,rs7437726,chr4:114059072,"G=0.856, T=0.144",0.9535731591942221,1.0,0.1273,0.010357600000000002,0.0073-0.0134,4.0000000000000004e-11,
9,rs6842026,Smoking initiation,rs111660595,chr4:114063555,"G=0.15, T=0.85",0.984476502535477,0.9922078928004338,0.178,0.00591,0.0039-0.0079,4e-09,
10,rs12140703,Mean platelet volume,rs61822568,chr1:205112038,"C=0.573, G=0.427",0.8091111128066356,0.9954159375911344,0.550978,0.09340599999999999,0.09-0.097,0.0,
11,rs12140703,Basophil count,rs12123922,chr1:205171308,"A=0.424, G=0.576",0.826600468384075,1.0,0.441049,0.030438805,0.026-0.035,2.9999999999999996e-42,
12,rs12140703,Basophil percentage of white cells,rs12123922,chr1:205171308,"A=0.424, G=0.576",0.826600468384075,1.0,0.441056,0.027988406,0.023-0.033,1e-33,
13,rs12140703,White blood cell count (basophil),rs11579220,chr1:205175235,"G=0.577, T=0.423",0.8299718309859155,1.0,0.4382,0.02707159,0.02-0.034,1e-14,
14,rs12140703,Basophil percentage of white cells,rs11579220,chr1:205175235,"G=0.577, T=0.423",0.8299718309859155,1.0,0.4382,0.02771084,0.021-0.035,1.9999999999999998e-15,
15,rs12140703,Vertex-wise cortical surface area,rs17345153,chr1:205210869,"A=0.576, G=0.424",0.826600468384075,1.0,0.42,6.6,,4.0000000000000004e-11,
16,rs12140703,Reticulocyte count,rs12140703,chr1:205213737,"C=0.379, G=0.621",1.0,1.0,0.3992,0.02678391,0.02-0.034,3e-13,
17,rs12140703,High light scatter reticulocyte count,rs61823972,chr1:205232197,"A=0.602, C=0.398",0.923544,1.0,0.4142,0.03629142,0.029-0.043,1e-23,
18,rs12140703,Mean corpuscular hemoglobin concentration,rs61823972,chr1:205232197,"A=0.602, C=0.398",0.923544,1.0,0.4143,0.03242679,0.026-0.039,2.0000000000000002e-20,
19,rs12140703,Mean corpuscular volume,rs61823972,chr1:205232197,"A=0.602, C=0.398",0.923544,1.0,0.4143,0.03274102,0.026-0.04,4.0000000000000004e-20,
20,rs12140703,Mean corpuscular hemoglobin,rs61823972,chr1:205232197,"A=0.602, C=0.398",0.923544,1.0,0.4144,0.04307093,0.036-0.05,2e-33,
21,rs12140703,Immature fraction of reticulocytes,rs61823972,chr1:205232197,"A=0.602, C=0.398",0.923544,1.0,0.4142,0.03856732,0.032-0.046,5e-27,
22,rs12140703,Mean corpuscular volume,rs61823972,chr1:205232197,"A=0.602, C=0.398",0.923544,1.0,0.413467,0.0381196,0.034-0.042,2e-65,
23,rs12140703,Mean corpuscular volume,rs61823972,chr1:205232197,"A=0.602, C=0.398",0.923544,1.0,0.412163,0.036719999999999996,0.033-0.04,1.9999999999999997e-89,
24,rs12140703,Mean corpuscular hemoglobin concentration,rs61823972,chr1:205232197,"A=0.602, C=0.398",0.923544,1.0,0.343628,,,5.999999999999999e-47,
25,rs12140703,Mean corpuscular volume,rs61823972,chr1:205232197,"A=0.602, C=0.398",0.923544,1.0,0.349272,,,1.9999999999999996e-92,
26,rs12140703,Mean corpuscular hemoglobin,rs61823972,chr1:205232197,"A=0.602, C=0.398",0.923544,1.0,0.413607,0.046644,0.043-0.05,1.9999999999999992e-127,
27,rs12140703,Mean corpuscular hemoglobin,rs61823972,chr1:205232197,"A=0.602, C=0.398",0.923544,1.0,NR,,,2.999999999999999e-106,
28,rs12140703,Mean corpuscular hemoglobin,rs61823972,chr1:205232197,"A=0.602, C=0.398",0.923544,1.0,0.345901,,,3.9999999999999987e-134,
29,rs12140703,Mean corpuscular hemoglobin,rs61823972,chr1:205232197,"A=0.602, C=0.398",0.923544,1.0,0.112263,0.0400723,0.029-0.051,2e-12,
30,rs12140703,Mean corpuscular volume,rs61823972,chr1:205232197,"A=0.602, C=0.398",0.923544,1.0,0.112207,0.0316774,0.021-0.043,2e-08,
31,rs12140703,Mean corpuscular hemoglobin,rs61823972,chr1:205232197,"A=0.602, C=0.398",0.923544,1.0,NR,0.0403,0.036-0.045,2e-74,
32,rs12140703,Mean corpuscular hemoglobin concentration,rs61823972,chr1:205232197,"A=0.602, C=0.398",0.923544,1.0,NR,0.0184,0.014-0.023,6.999999999999999e-17,
33,rs12140703,Mean corpuscular volume,rs61823972,chr1:205232197,"A=0.602, C=0.398",0.923544,1.0,NR,0.0341,0.03-0.038,9e-54,
34,rs12140703,Red blood cell count,rs748012,chr1:205247445,"A=0.379, G=0.621",0.9831727037471496,0.991550656167979,0.395386,0.026080891000000002,0.022-0.03,3.9999999999999995e-31,
35,rs12140703,Red blood cell count,rs748012,chr1:205247445,"A=0.379, G=0.621",0.9831727037471496,0.991550656167979,NR,,,2.9999999999999996e-37,
36,rs12140703,High light scatter reticulocyte percentage of red cells,rs4400674,chr1:205249297,"A=0.381, C=0.619",0.9915947780678852,1.0,0.398414,0.032651099999999995,0.028-0.037,1.9999999999999997e-47,
37,rs12140703,Immature fraction of reticulocytes,rs1172152,chr1:205251590,"A=0.381, T=0.619",0.9915947780678852,1.0,0.398466,0.032684803,0.028-0.037,8e-44,
38,rs12140703,Reticulocyte count,rs1172147,chr1:205256329,"A=0.381, G=0.619",0.9915947780678852,1.0,0.398369,0.027700331,0.023-0.032,2e-34,
39,rs12140703,Reticulocyte fraction of red cells,rs1172147,chr1:205256329,"A=0.381, G=0.619",0.9915947780678852,1.0,0.39836,0.022644015,0.018-0.027,2e-23,
40,rs12140703,High light scatter reticulocyte count,rs1172147,chr1:205256329,"A=0.381, G=0.619",0.9915947780678852,1.0,0.398379,0.036386173,0.032-0.041,3e-58,
41,rs12140703,Mean corpuscular hemoglobin concentration,rs1172113,chr1:205257160,"C=0.395, T=0.605",0.9029754634270994,0.9826573402462624,0.410442,0.0293323,0.025-0.034,5e-39,
42,rs12140703,Mean corpuscular hemoglobin,rs1172113,chr1:205257160,"C=0.395, T=0.605",0.9029754634270994,0.9826573402462624,0.410479,0.036092132,0.031-0.042,1e-37,
43,rs12140703,Mean corpuscular volume,rs1172113,chr1:205257160,"C=0.395, T=0.605",0.9029754634270994,0.9826573402462624,0.587,0.16,-0.19--0.14%,3e-49,
44,rs12140703,Mean corpuscular hemoglobin concentration,rs1172113,chr1:205257160,"C=0.395, T=0.605",0.9029754634270994,0.9826573402462624,0.410613,0.029182999999999997,0.025-0.033,5.999999999999999e-47,
45,rs12140703,High light scatter reticulocyte percentage of red cells,rs1151786,chr1:205258632,"C=0.359, G=0.641",0.9018248261916432,0.9910825484764544,0.3734,0.03390294,0.027-0.041,4.0000000000000004e-20,
46,rs12140703,Reticulocyte fraction of red cells,rs1151786,chr1:205258632,"C=0.359, G=0.641",0.9018248261916432,0.9910825484764544,0.3734,0.02309565,0.016-0.03,4e-10,
47,rs12140703,Mean platelet volume,rs1668873,chr1:205266862,"A=0.355, G=0.645",0.8701032954765364,0.9819652661064424,NR,0.01,0.01-0.014,1.0000000000000001e-20,
48,rs12140703,Platelet count,rs1668871,chr1:205268009,"C=0.371, T=0.629",0.8069786803503685,0.9136943699731904,0.32297,,,2.999999999999999e-141,
49,rs12140703,Platelet count,rs1668871,chr1:205268009,"C=0.371, T=0.629",0.8069786803503685,0.9136943699731904,NR,2.804,2.08-3.5310^9/,3e-14,
50,rs12140703,Mean platelet volume,rs1668871,chr1:205268009,"C=0.371, T=0.629",0.8069786803503685,0.9136943699731904,0.840958,0.12791,0.091-0.164,5.9999999999999995e-12,
51,rs12140703,Platelet count,rs1668871,chr1:205268009,"C=0.371, T=0.629",0.8069786803503685,0.9136943699731904,0.288554,2.6689973,1.85-3.49,2e-10,
52,rs12140703,Platelet count,rs1668871,chr1:205268009,"C=0.371, T=0.629",0.8069786803503685,0.9136943699731904,NR,0.0453,0.041-0.049,9.999999999999998e-99,
53,rs12140703,Mean platelet volume,rs1768584,chr1:205271017,"A=0.629, G=0.371",0.8069786803503685,0.9136943699731904,0.386992,0.09732809,0.093-0.102,0.0,
54,rs12140703,Platelet count,rs1768584,chr1:205271017,"A=0.629, G=0.371",0.8069786803503685,0.9136943699731904,0.386984,0.0407423,0.036-0.045,3e-63,
55,rs12140703,Mean platelet volume,rs1768584,chr1:205271017,"A=0.629, G=0.371",0.8069786803503685,0.9136943699731904,0.3776,0.0807,0.05-0.112,4e-07,
56,rs12140703,Platelet count,rs1768584,chr1:205271017,"A=0.629, G=0.371",0.8069786803503685,0.9136943699731904,0.614,,,8e-59,
57,rs12140703,Platelet count,rs1172130,chr1:205275825,"A=0.37, G=0.63",0.8107643687410754,0.917789247311828,0.385378,0.048726,0.045-0.053,2.999999999999999e-139,
58,rs12140703,Mean platelet volume,rs1172130,chr1:205275825,"A=0.37, G=0.63",0.8107643687410754,0.917789247311828,NR,0.011000000000000001,0.009-0.013(),4e-27,
59,rs12140703,Mean platelet volume,rs1172129,chr1:205275844,"A=0.371, T=0.629",0.8146192298545684,0.9180096514745308,0.3879,0.1144109,0.11-0.12,9.999999999999997e-211,
60,rs12140703,Mean spheric corpuscular volume,rs55673946,chr1:205281347,"C=0.362, T=0.638",0.8418012514071974,0.9513582417582418,0.371727,0.02100217,0.017-0.025,2.0000000000000002e-20,
61,rs12140703,Mean reticulocyte volume,rs55673946,chr1:205281347,"C=0.362, T=0.638",0.8418012514071974,0.9513582417582418,0.371853,0.034228347,0.03-0.039,3e-50,
62,rs12140703,Platelet count,rs11240408,chr1:205295408,"A=0.359, T=0.641",0.8302742389553299,0.9509540166204986,0.6245,0.04645696,0.039-0.054,1e-34,
63,rs12546747,Breast cancer,rs9693444,chr8:29652100,"A=0.347, C=0.653",0.93146551797634,0.9778608180493752,NR,1.07,1.05-1.08,8e-26,
64,rs12546747,Breast cancer,rs9693444,chr8:29652100,"A=0.347, C=0.653",0.93146551797634,0.9778608180493752,0.32,1.07,1.05-1.09,9.000000000000001e-14,
65,rs12546747,Breast cancer,rs9693444,chr8:29652100,"A=0.347, C=0.653",0.93146551797634,0.9778608180493752,0.32,1.06,1.04-1.08(),2.0000000000000002e-21,
66,rs12546747,Breast cancer,rs9693444,chr8:29652100,"A=0.347, C=0.653",0.93146551797634,0.9778608180493752,0.32,1.07,1.05-1.09,1e-12,
67,rs12546747,Breast cancer,rs9693444,chr8:29652100,"A=0.347, C=0.653",0.93146551797634,0.9778608180493752,0.32,1.07,1.05-1.09,1e-10,
68,rs12546747,Percent mammographic density,rs6558136,chr8:29665607,"C=0.366, T=0.634",0.9286877771219596,0.9911166055896508,NR,0.042,0.026-0.058,1e-08,
69,rs12546747,Mammographic density (dense area),rs6558136,chr8:29665607,"C=0.366, T=0.634",0.9286877771219596,0.9911166055896508,NR,0.046,0.028-0.064,4e-07,
70,rs1883565,Morning vs. evening chronotype,rs6691624,chr1:19661290,"C=0.346, T=0.654",0.9265764629807952,0.9732558242576232,NR,,,4e-06,
71,rs1883565,Bipolar I disorder,rs10917509,chr1:19665573,"C=0.655, T=0.345",0.9307365563306588,0.9732964072253658,0.365,1.0767,1.05-1.1,8e-10,
72,rs1883565,Morning person,rs10917513,chr1:19680394,"C=0.346, T=0.654",0.9608360483833408,0.9910852747525409,0.35240000000000005,1.0305029,,3e-15,
73,rs1883565,Chronotype,rs10917513,chr1:19680394,"C=0.346, T=0.654",0.9608360483833408,0.9910852747525409,0.35240000000000005,1.0313823,,3e-15,
74,rs1883565,Morningness,rs7543480,chr1:19688334,"C=0.657, T=0.343",0.9736894442097868,0.9911257349276429,0.3447,0.016,0.012-0.02,6.999999999999999e-13,
75,rs1883565,Educational attainment,rs10917518,chr1:19691245,"C=0.671, T=0.329",0.879611896377515,0.9633269994030612,0.3403,0.00620595,0.004-0.0084,3e-08,
76,rs1883565,Asthma (childhood onset),rs4912145,chr1:19697340,"C=0.341, T=0.659",0.8966480735629644,0.9469150297481629,NR,0.60896164,,9e-06,
77,rs6441990,Serum levels of protein MYCT1,rs743659,chr3:46447524,"A=0.664, G=0.336",0.9911412469179288,1.0,0.3066,0.276505,0.24-0.31,1e-46,
78,rs6441990,Blood protein levels,rs11707471,chr3:46457375,"G=0.349, T=0.651",0.9526620637731747,1.0,NR,0.6176,,2.9999999999999994e-78,
79,rs6441990,"Alkaline phosphatase, tissue-nonspecific isozyme levels",rs1126478,chr3:46459723,"C=0.349, T=0.651",0.9526620637731747,1.0,NR,0.4979,0.41-0.59,5e-26,
80,rs6441990,Platelet-derived growth factor receptor-like protein levels (PDGFRL.9713.67.3),rs4683234,chr3:46460279,"C=0.653, G=0.347",0.9438125327240232,0.9909929268511056,0.315,1.04,1.0-1.08,0.0,
81,rs6441990,PAXIP1-associated protein 1 level in Chronic kidney disease with hypertension and no diabetes (23967_8),rs9862388,chr3:46462826,"A=0.649, G=0.351",0.9273334236796936,0.9909377533555536,0.89,0.75,0.55-0.95,7e-14,
82,rs12282215,Erosive tooth wear (severe vs non-severe),rs55868189,chr11:71728109,"G=0.129, T=0.871",0.9912335738436334,1.0,NR,,,6e-06,
83,rs12282215,Erosive tooth wear (severe vs non-severe),rs55949313,chr11:71728118,"C=0.871, T=0.129",0.9912335738436334,1.0,NR,,,6e-06,
84,rs140872127,Height (standard GWA),rs6485214,chr11:11784780,"A=0.176, G=0.824",0.8795299357884437,0.9508984290565274,NR,0.12125999999999999,0.079-0.164,2e-08,
85,rs140872127,Blood protein levels,rs113672631,chr11:11841852,"G=0.823, T=0.177",0.9125608125126154,0.9719080729384826,0.77421875,0.15339164,0.099-0.208,5e-08,
86,rs78709955,Cathepsin B level in Chronic kidney disease with hypertension and no diabetes (8007_19),rs1293331,chr8:11840927,"C=0.748, T=0.252",0.8002100758922075,0.9724573718966631,0.11,0.73,0.53-0.93,6e-14,
87,rs78709955,Concentration of VLDL particles,rs1293331,chr8:11840927,"C=0.748, T=0.252",0.8002100758922075,0.9724573718966631,0.739189,0.0277137,0.019-0.037,3e-09,
88,rs78709955,Parkinson's disease,rs1296028,chr8:11841238,"A=0.731, G=0.269",0.8127849857874696,0.9380443317645972,NR,1.15,,1e-06,
89,rs78709955,Total cholesterol levels,rs1296028,chr8:11841238,"A=0.731, G=0.269",0.8127849857874696,0.9380443317645972,NR,1.9,1.1-2.7,3e-06,
90,rs4681679,Hematocrit,rs6775517,chr3:58373240,"G=0.622, T=0.378",0.9957777218165028,1.0,NR,0.0173,0.013-0.021,1e-17,
91,rs4681679,Red blood cell count,rs57700771,chr3:58374600,"A=0.377, G=0.623",0.9915510843160324,0.9957665812408208,NR,,,9.000000000000001e-21,
92,rs4681679,Red blood cell count,rs7610312,chr3:58388302,"A=0.622, G=0.378",0.9957777218165028,1.0,0.3704,0.02158849,0.014-0.029,5e-09,
93,rs4681679,Red blood cell count,rs55704295,chr3:58389679,"A=0.656, C=0.344",0.8592574758424759,0.9953628158678356,0.368234,0.02093,0.017-0.025,8e-26,
